epoch;lr;train loss;valid loss
1;0.0001;2.58;2.52
2;0.0001;1.5 ;2.43
3;0.0001;1.3 ;2.44
4;0.0001;1.2 ;2.47
5;0.0001;1.07;2.49
6;0.0001;0.959;2.52
7;0.0001;0.881;2.58
8;0.0001;0.812;2.63
9;0.0001;0.759;2.68
10;0.0001;0.71;2.67
1;0.0001;0.68;2.63
12;0.0001;0.65;2.71
13;0.0001;0.628;2.73
14;8e-5 0.58 ;2.74
15;8e-5 0.556;2.77
16;8e-5 0.536;2.82
17;8e-5 0.527;2.83
18;8e-5 0.513;2.82
19;8e-5 0.499;2.82
20;8e-5 0.495;2.82
21;8e-5 0.486;2.87
22;8e-5 0.473;2.89
23;8e-5 0.464;2.87
24;8e-5 0.464;2.9
25;6.4e-5;0.43;2.9 
26;6.4e-5;0.422;2.92
27;6.4e-5;0.413;2.93
28;6.4e-5;0.412;2.92
29;6.4e-5;0.406;2.93
30;6.4e-5;0.401;2.96
31;6.4e-5;0.391;3
32;6.4e-5;0.391;2.95
